chr	start	end	JC2140_neg	JC2307_neg	JC2307_pos	GC
NC_003062_3_fused	1	5000	32	44	33	0.549
NC_003062_3_fused	5001	10000	1045	1300	1614	0.480
NC_003062_3_fused	10001	15000	582	1012	565	0.471
NC_003062_3_fused	15001	20000	2624	3514	4142	0.458
NC_003062_3_fused	20001	25000	2755	3727	4287	0.562
NC_003062_3_fused	25001	30000	2542	3429	3249	0.572
NC_003062_3_fused	30001	35000	2521	3417	2981	0.595
NC_003062_3_fused	35001	40000	2559	3496	3045	0.581
NC_003062_3_fused	40001	45000	2621	3493	3116	0.603
NC_003062_3_fused	45001	50000	2514	3243	2993	0.612
NC_003062_3_fused	50001	55000	2509	3177	2942	0.615
NC_003062_3_fused	55001	60000	2456	3139	2910	0.576
NC_003062_3_fused	60001	65000	2376	3314	2905	0.569
NC_003062_3_fused	65001	70000	2468	3408	3114	0.575
NC_003062_3_fused	70001	75000	2457	3430	2967	0.569
NC_003062_3_fused	75001	80000	2386	3416	2874	0.578
NC_003062_3_fused	80001	85000	2387	3337	2827	0.605
NC_003062_3_fused	85001	90000	2377	3229	2812	0.599
NC_003062_3_fused	90001	95000	2254	3276	2625	0.605
NC_003062_3_fused	95001	100000	2439	3172	2682	0.614
NC_003062_3_fused	100001	105000	2502	3177	2696	0.619
NC_003062_3_fused	105001	110000	2501	3208	3029	0.586
NC_003062_3_fused	110001	115000	2502	3465	3087	0.599
NC_003062_3_fused	115001	120000	2633	3378	3158	0.584
NC_003062_3_fused	120001	125000	2479	3343	3131	0.589
NC_003062_3_fused	125001	130000	2281	3349	3078	0.580
NC_003062_3_fused	130001	135000	2168	3338	2781	0.608
NC_003062_3_fused	135001	140000	2095	3303	2600	0.583
NC_003062_3_fused	140001	145000	2149	3261	2586	0.591
NC_003062_3_fused	145001	150000	2236	3294	2621	0.583
NC_003062_3_fused	150001	155000	2460	3377	2831	0.599
NC_003062_3_fused	155001	160000	2517	3386	2953	0.591
NC_003062_3_fused	160001	165000	2514	3280	2822	0.600
NC_003062_3_fused	165001	170000	2442	3223	2793	0.615
NC_003062_3_fused	170001	175000	2434	3248	2875	0.587
NC_003062_3_fused	175001	180000	2442	3237	2873	0.602
NC_003062_3_fused	180001	185000	2274	3083	2720	0.597
NC_003062_3_fused	185001	190000	2262	3074	2661	0.594
NC_003062_3_fused	190001	195000	2394	3056	2786	0.612
NC_003062_3_fused	195001	200000	2412	2960	2728	0.597
NC_003062_3_fused	200001	205000	2355	2836	2693	0.599
NC_003062_3_fused	205001	210000	2273	2772	2707	0.589
NC_003062_3_fused	210001	215000	2257	2943	2631	0.571
NC_003062_3_fused	215001	220000	2391	3168	2655	0.598
NC_003062_3_fused	220001	225000	2511	3252	2701	0.601
NC_003062_3_fused	225001	230000	2593	3082	2896	0.610
NC_003062_3_fused	230001	235000	2426	2887	2679	0.567
NC_003062_3_fused	235001	240000	2295	2838	2555	0.616
NC_003062_3_fused	240001	245000	2304	2972	2768	0.631
NC_003062_3_fused	245001	250000	2297	3147	2877	0.582
NC_003062_3_fused	250001	255000	2385	3191	2796	0.609
NC_003062_3_fused	255001	260000	2429	3118	2533	0.606
NC_003062_3_fused	260001	265000	2442	2855	2532	0.612
NC_003062_3_fused	265001	270000	2477	2778	2685	0.594
NC_003062_3_fused	270001	275000	2422	2810	2758	0.598
NC_003062_3_fused	275001	280000	2488	3002	2871	0.580
NC_003062_3_fused	280001	285000	2569	3206	2996	0.581
NC_003062_3_fused	285001	290000	2454	2999	2990	0.617
NC_003062_3_fused	290001	295000	2238	3009	2849	0.612
NC_003062_3_fused	295001	300000	2278	3075	2744	0.605
NC_003062_3_fused	300001	305000	2269	3206	2795	0.567
NC_003062_3_fused	305001	310000	2253	3268	2918	0.601
NC_003062_3_fused	310001	315000	2257	3313	2979	0.604
NC_003062_3_fused	315001	320000	2150	3316	2891	0.595
NC_003062_3_fused	320001	325000	2131	3008	2763	0.596
NC_003062_3_fused	325001	330000	2109	2904	2773	0.619
NC_003062_3_fused	330001	335000	2143	2997	2791	0.614
NC_003062_3_fused	335001	340000	2215	3065	2765	0.605
NC_003062_3_fused	340001	345000	2435	3097	2862	0.604
NC_003062_3_fused	345001	350000	2398	3045	2718	0.619
NC_003062_3_fused	350001	355000	2273	3119	2702	0.605
NC_003062_3_fused	355001	360000	2183	3278	2786	0.610
NC_003062_3_fused	360001	365000	2166	3309	2826	0.543
NC_003062_3_fused	365001	370000	2259	3157	2844	0.583
NC_003062_3_fused	370001	375000	2181	3158	2830	0.581
NC_003062_3_fused	375001	380000	2215	3062	2630	0.570
NC_003062_3_fused	380001	385000	2290	2997	2539	0.604
NC_003062_3_fused	385001	390000	2447	3048	2562	0.593
NC_003062_3_fused	390001	395000	2487	3222	2613	0.603
NC_003062_3_fused	395001	400000	2487	3315	2665	0.584
NC_003062_3_fused	400001	405000	2520	3124	2807	0.600
NC_003062_3_fused	405001	410000	2536	3061	2714	0.597
NC_003062_3_fused	410001	415000	2556	3096	2841	0.616
NC_003062_3_fused	415001	420000	2457	3268	2898	0.578
NC_003062_3_fused	420001	425000	2449	3381	2746	0.587
NC_003062_3_fused	425001	430000	2423	3305	2706	0.583
NC_003062_3_fused	430001	435000	2353	3320	2753	0.607
NC_003062_3_fused	435001	440000	2374	3360	2709	0.601
NC_003062_3_fused	440001	445000	2443	3119	2543	0.584
NC_003062_3_fused	445001	450000	2474	2999	2630	0.586
NC_003062_3_fused	450001	455000	2456	3031	2704	0.606
NC_003062_3_fused	455001	460000	2441	2934	2907	0.615
NC_003062_3_fused	460001	465000	2451	3085	3114	0.602
NC_003062_3_fused	465001	470000	2450	3095	3077	0.592
NC_003062_3_fused	470001	475000	2250	3134	3040	0.589
NC_003062_3_fused	475001	480000	2276	3126	2746	0.601
NC_003062_3_fused	480001	485000	2561	2983	2623	0.603
NC_003062_3_fused	485001	490000	2406	2958	2653	0.593
NC_003062_3_fused	490001	495000	2504	3070	2858	0.593
NC_003062_3_fused	495001	500000	2503	3163	2798	0.630
